Git Repo.,Commit,Timestamp,AnalysisInSeconds,NumClasses,NumMethods,NumLines,DECLARATION,METHOD_CHECKER,JAVADOC,WHITESPACE,IMPORT_CHECKER,VARIABLE_CHECKER,
Repository[/Users/haujd98/Documents/UW/csep590_sp19/poi/.git],b41ee58404,Fri Aug 31 05:09:43 PDT 2018,49,1334,11652,174391,3434,4759,13443,463,2712,4333,
Repository[/Users/haujd98/Documents/UW/csep590_sp19/poi/.git],69b0652676,Mon Nov 26 13:27:30 PST 2018,47,1337,11597,174532,3440,4741,13362,464,2718,4340,
